p0,p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
 , , ,32,50,4,34.211668,1.520394997311173,320.205584526062
 , , ,8,100,256,14.516887,1.5529990068098383,461.4837999343872
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,80,35.2452475,1.5637374290428525,790.805655002594
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,20,36.110138,1.5700184059997155,1128.6538095474243
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,128,22.285635,1.5834453156631638,1339.1767828464508
 , , ,50,20,20,31.349838499999997,1.5855140932268355,1633.312243938446
 , , ,100,128,8,41.0006705,1.5857496598787217,2015.905041694641
 , , ,100,8,256,14.7546915,1.5873518761435583,2159.1866433620453
 , , ,50,8,80,27.222375,1.5960135324154023,2423.029363155365
 , , ,16,64,256,14.8875475,1.6005554142463803,2566.6692254543304
 , , ,8,32,256,14.8555435,1.6013130035936411,2710.6806247234344
 , , ,80,128,256,15.08557,1.6022333964980982,2858.132313966751
 , , ,8,8,32,31.731078500000002,1.604357350797092,3152.85196185112
 , , ,50,128,32,35.570198000000005,1.6043792767260194,3479.64306640625
 , , ,4,16,8,37.897562,1.606764864657688,3830.6707892417908
 , , ,96,32,4,38.2997165,1.6085184984476186,4199.731139659882
 , , ,32,2048,20,33.0114705,1.6086212950391383,4507.041737318039
 , , ,32,2048,256,14.456374,1.6086396923121795,4645.139726400375
 , , ,20,32,256,14.550339000000001,1.6089099544088257,4783.968435049057
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,8,37.4734005,1.6090490719362662,5131.179949998856
 , , ,100,2048,256,14.51374,1.6099966546753115,5269.946663379669
 , , ,100,16,32,32.629827,1.6105757277552144,5570.697217226028
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,256,17.768863500000002,1.6119433653731694,5742.399996995926
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,32,43.580737,1.6139503338077061,6146.040235519409
 , , ,4,4,256,16.157534,1.613991203842274,6299.547176122665
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,16,53.421038499999995,1.6140719257971776,6792.664811849594
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,128,20,47.352059499999996,1.615673009827296,7231.092260122299
 , , ,100,128,256,15.163291000000001,1.616013473447232,7377.03270816803
 , , ,4,100,20,36.486209,1.6163322861347695,7713.492600679398
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,8,46.221576,1.616540088065121,8139.633253097534
 , , ,4,8,50,32.426362999999995,1.617081278943813,8442.727269411087
 , , ,100,64,256,15.2979005,1.6170931332728973,8591.785521268845
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,80,36.724802499999996,1.6172541804493554,8933.50465130806
 , , ,96,128,256,15.090709499999999,1.6175580208472413,9080.900812149048
 , , ,4,80,32,33.160447500000004,1.617776397368228,9388.898226499557
 , , ,20,100,256,14.8596045,1.6180131061647942,9531.196826457977
 , , ,100,16,20,34.2219385,1.6180262396952088,9849.427875518799
 , , ,8,2048,128,24.497038,1.618141903580631,10079.435375452042
 , , ,50,8,8,42.107974,1.6181781472147962,10467.677882909775
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,80,30.746700500000003,1.618340335927183,10753.702394008636
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,256,16.591433,1.6184510586913248,10912.510075569153
 , , ,20,8,256,15.204759500000002,1.6184722514221002,11057.776104927063
 , , ,16,32,256,14.80702,1.6185069852655602,11200.172929763794
 , , ,50,4,16,35.668983999999995,1.6188628166887444,11530.56778883934
 , , ,128,32,256,15.205239500000001,1.6188911608520304,11676.506865024567
 , , ,128,2048,50,53.2837125,1.6189091547440702,12166.534855604172
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,256,16.072009,1.6203763707640528,12324.492989063263
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,256,15.2621585,1.6204131664816461,12470.500878810883
 , , ,20,16,80,27.688012,1.620456356789498,12730.747356891632
 , , ,16,50,80,27.9552375,1.6204994490319757,12991.576164484024
 , , ,16,16,32,27.965486,1.620626939897195,13251.454323530197
 , , ,128,100,20,40.3384165,1.6206373234896436,13625.704147338867
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,256,16.167834,1.620678006732706,13780.257220983505
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,32,39.306940499999996,1.6207813530189101,14143.518128871918
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,256,15.5515,1.6210898926317503,14292.088404655457
 , , ,32,8,256,14.80264,1.6211236167130092,14433.675440073013
 , , ,96,80,256,14.831980999999999,1.6212269885831625,14576.135464668274
 , , ,128,128,8,41.1798575,1.6212682489278396,14958.216955423355
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,256,15.471181,1.621343236465695,15105.723678588867
 , , ,100,64,32,33.4373235,1.6213783219456919,15417.807797670364
 , , ,32,8,20,30.1133305,1.6213959874318162,15697.658285617828
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,8,39.4322885,1.6213981527608299,16064.949221611023
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,15.5303585,1.621442764766701,16213.437670230865
 , , ,50,16,256,14.601883,1.6214469887431266,16354.142849206924
 , , ,96,32,8,38.4561955,1.621522399701544,16712.478909254074
 , , ,100,8,64,28.8311125,1.6215496840235013,16981.608155965805
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,8,40.935527,1.6216286958070132,17361.820259809494
 , , ,96,100,8,38.665814999999995,1.6217205886374515,17719.0728828907
 , , ,4,16,256,14.565384000000002,1.621754085338282,17858.530642986298
 , , ,100,100,80,39.6760535,1.621947228814882,18224.88417482376
 , , ,16,128,50,30.993495000000003,1.621955371976934,18515.927449941635
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,20,38.365885500000005,1.621993970371728,18870.508152008057
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,80,40.102886999999996,1.622044988981091,19241.3802318573
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,256,16.7833755,1.622046519847908,19400.695519208908
 , , ,32,128,80,30.767482,1.622085201978133,19687.33966946602
 , , ,4,128,80,28.937514999999998,1.622153650840189,19957.617003917694
 , , ,100,8,16,30.432004,1.6221741067317903,20240.03847360611
 , , ,64,20,256,14.5984945,1.622189587134757,20380.472202301025
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,256,15.57794,1.622242261830518,20528.90126991272
 , , ,100,2048,20,48.054275000000004,1.6222752557646405,20971.44722342491
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,8,41.7396215,1.6222884814306837,21359.20365333557
 , , ,16,16,256,14.499955,1.6223264465789826,21497.779104471207
 , , ,16,100,80,29.056745,1.622374149860658,21768.531266450882
 , , ,64,100,80,35.212638,1.622485687008665,22095.380903482437
 , , ,100,8,50,29.7552815,1.6224944145637008,22373.263058423996
 , , ,16,100,32,29.414917,1.6225564335424767,22647.347922086716
 , , ,8,128,32,29.451838000000002,1.6226353782330398,22921.309295654297
 , , ,32,80,256,14.593285999999999,1.6226421696047801,23061.321111679077
 , , ,4,8,4,40.854845,1.6227875841474633,23435.376214504242
 , , ,4,50,256,14.8717395,1.6228130859899204,23578.383734226227
 , , ,96,8,128,23.3752505,1.6228872680114124,23797.70387029648
 , , ,4,80,20,36.3586095,1.6229483702882,24135.58588385582
 , , ,128,80,64,43.7450945,1.6230086091283762,24540.617008686066
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,16,42.445589999999996,1.6230738870803099,24935.271939992905
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,80,34.831576999999996,1.6231071018333465,25257.677657604218
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,16,50.927482,1.623125893389004,25727.02379345894
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,50,43.8543455,1.6231824387584253,26132.506569862366
 , , ,100,64,50,40.085777500000006,1.6232090583468195,26503.72781729698
 , , ,50,8,256,15.158374,1.623238968003132,26649.73219037056
 , , ,20,16,256,14.9192985,1.6232588604813036,26792.678894996643
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,8,39.275396,1.62327182747569,27158.234536886215
 , , ,4,16,16,36.096473,1.6233512130530667,27494.3546128273
 , , ,4,8,8,34.217553,1.6234433511805708,27810.814495801926
 , , ,4,64,256,14.5996715,1.6234946274685704,27952.087690114975
 , , ,32,16,8,40.6622645,1.6235136077919987,28327.98559331894
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,256,15.909914,1.6235227637496585,28480.559619426727
 , , ,16,80,80,31.5219115,1.6235400289981752,28773.501820087433
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,256,16.3628445,1.6235405866534178,28930.650321245193
 , , ,128,32,32,32.976856999999995,1.6236119886433762,29236.798226356506
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,50,49.883591,1.6236280566682204,29696.090544700623
 , , ,16,16,50,32.940560500000004,1.6236323674375217,30002.254845142365
 , , ,16,64,50,33.057395,1.6236750007204945,30310.409513950348
 , , ,128,16,256,14.939655,1.6236991226205193,30453.64932203293
 , , ,128,16,50,30.15972,1.6237061308423801,30734.208820819855
 , , ,8,8,128,21.1533215,1.6237413249430082,30933.984367609024
 , , ,96,128,8,37.4835595,1.6237477117751895,31282.31905245781
 , , ,50,64,128,24.3124535,1.6237727724933995,31509.609675884247
 , , ,32,100,128,24.276450500000003,1.6237833522552516,31737.136264801025
 , , ,128,32,20,31.308335,1.6238162319981373,32028.161550998688
 , , ,100,128,20,40.592606,1.6238466397044602,32404.310401678085
 , , ,96,100,256,14.7511325,1.6238711912720205,32546.549392223358
 , , ,4,32,16,32.190349999999995,1.6239210527288832,32845.49078154564
 , , ,16,128,4,35.100344,1.623947274814934,33172.79093813896
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,4,34.562605,1.6239739494122452,33494.11771941185
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,256,15.7489655,1.6240082713214792,33644.951483011246
 , , ,32,32,256,14.5538575,1.6240109130338958,33784.24546647072
 , , ,100,50,8,41.103508500000004,1.6240292258504556,34165.272423028946
 , , ,96,64,256,14.8890745,1.6240403533784764,34308.27570772171
 , , ,32,8,8,35.3310235,1.6240478750170904,34642.54837632179
 , , ,50,64,256,14.764734,1.6240862543697434,34785.91749429703
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,256,15.738304500000002,1.624103208737348,34938.120546102524
 , , ,4,100,16,31.9436305,1.6241197893471855,35236.11231970787
 , , ,32,32,32,29.635377,1.6241361855910945,35510.324206113815
 , , ,128,128,100,35.596332000000004,1.624141651415441,35842.66561436653
 , , ,32,16,32,28.50198,1.6241465039547662,36108.97997045517
 , , ,100,16,16,30.590828000000002,1.624157080284327,36397.55287408829
 , , ,96,8,256,14.8028205,1.6241708596444067,36540.30587100983
 , , ,100,100,256,14.820209,1.6241763098308124,36684.898424863815
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,15.773895,1.6241934495158148,36835.063153505325
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,16,46.767208,1.6242081826605832,37265.500274181366
 , , ,32,100,256,14.980590500000002,1.6242150810995375,37407.34125494957
 , , ,32,16,256,14.692325499999999,1.6242169572301106,37548.16360282898
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,256,15.916104999999998,1.6242175723717265,37699.13835859299
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,256,17.034892,1.6242244590744883,37861.721276283264
 , , ,20,80,20,31.0600315,1.6242376353456962,38157.661925554276
 , , ,4,8,256,14.9575855,1.6242554100891788,38300.70942878723
 , , ,32,16,20,30.462384999999998,1.624258122619069,38583.426110744476
 , , ,32,20,100,27.793995000000002,1.624263703961913,38844.89153671265
 , , ,16,8,256,14.679276,1.624278393332247,38986.73812508583
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,256,16.016365999999998,1.6242985094807387,39141.118601322174
 , , ,100,32,8,38.629393,1.6243089355461948,39502.447618722916
 , , ,4,100,80,29.5339935,1.6243122794847737,39772.89022564888
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,4,41.527375,1.6243146161276798,40155.9174220562
 , , ,4,2048,256,14.5489755,1.624335866674745,40295.60029911995
 , , ,100,100,8,40.983721,1.6243602173027454,40677.0199368
 , , ,128,8,16,30.7735235,1.6243903920652385,40963.31510591507
 , , ,8,2048,32,30.690037,1.624392820700118,41245.22643876076
 , , ,128,8,256,15.1097825,1.6244043818820968,41389.05896639824
 , , ,16,128,256,14.515835,1.6244056513112104,41528.811544418335
 , , ,16,128,80,29.29241,1.6244080753128058,41805.05776810646
 , , ,4,100,32,29.686428499999998,1.6244325974477947,42084.048366069794
 , , ,4,128,32,29.755133,1.6244377255553706,42362.795691013336
 , , ,96,2048,16,43.527868999999995,1.6244732088167557,42765.80046749115
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,256,15.725943999999998,1.624485380348317,42917.73208284378
 , , ,50,128,256,14.779404,1.624486180209033,43060.85767555237
 , , ,128,128,4,42.9363225,1.6245180965541066,43460.75676512718
 , , ,128,100,100,36.6273235,1.6245409475592156,43795.30459403992
 , , ,128,64,256,14.924299000000001,1.6245987765663479,43938.91654205322
 , , ,128,100,16,38.577276,1.6246041061756833,44300.15451383591
 , , ,16,32,32,29.311832000000003,1.6246053432591356,44571.794338941574
 , , ,128,100,256,14.8226365,1.6246193106592965,44714.56524062157
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,256,15.695623000000001,1.6246210378884318,44866.109882593155
 , , ,4,128,128,21.889039,1.6246343617539352,45074.16923427582
 , , ,20,80,80,28.737105,1.624656327441799,45343.93979072571
 , , ,16,100,256,14.532005,1.6246804432232365,45483.817435741425
 , , ,50,32,8,38.490201,1.6246834915637998,45837.47578525543
